"parancs","kerdes","felnott","egyedul","hazas","kamasz","no","ferfi","gyerek","kerdes"
1,0,1,1,1,0,1,1,0,"Áldoztam-e halálos bűn állapotában?"
1,1,1,1,1,1,1,1,1,"Elmulasztottam-e imádkozni mindennap?"
1,2,1,1,1,1,1,1,0,"Hazudtam gyónásban, elhallgattam súlyos bűnt?"
1,3,1,1,1,1,1,1,1,"Hittem babonában, horoszkópban és egyéb divatos dolgokban?"
1,4,1,1,1,1,1,1,1,"Igyekszem-e szeretni Istent teljes szívemből?"
2,0,1,1,1,1,1,1,0,"Esküdöztem fölöslegesen?"
2,1,1,1,1,1,1,1,0,"Káromkodtam? Isten és a szentek nevét ejtettem-e ki átkozódó, csúnya  szavak kíséretében?"
2,2,1,1,1,1,1,1,1,"Szoktam-e emlegetni Isten, szentek nevét fölöslegesen, tiszteletlenül?"
2,3,1,1,1,1,1,1,0,"Zúgolódtam-e Isten ellen? Voltam-e kishitű vagy vakmerő?"
2,4,1,1,1,1,1,1,0,"Viccelődtem szent dolgokról? Nem bánom, ha másoktól hallom?"
3,0,1,1,1,1,1,1,0,"Vasárnap, ünnepnap mulasztottam-e szentmisét? (Hanyagságból? Hányszor?)"
3,1,1,1,1,1,1,1,1,"Szentmisén Isten és az ott levők iránti szeretettel és figyelemmel vettem részt?"
3,2,1,1,1,1,1,1,0,"Pihenésre, ünneplésre és a családdal való együttlétre fordítottam-e a vasárnapokat, ünnepeket?"
3,3,1,1,1,0,1,1,0,"Vasárnap, ünnepnap valós ok nélkül dolgoztam-e?"
3,4,1,1,1,1,1,1,0,"Tartom-e a kötelező és más böjtöket? Törekszem azt lelkivé tenni, vagy csak muszájból végzem?"
4,0,1,1,1,1,1,1,1,"Tisztelem-e szüleimet? Engedelmes vagyok-e? Próbálok-e örömet szerezni nekik?"
4,1,1,1,1,1,1,1,1,"Tisztelem-e az idősebbeket, vezetőimet, tanáraimat stb.?"
4,2,1,1,1,0,1,1,0,"Szeretetet, kötelességet tagadtam-e meg házastársammal, gyerekeimmel szemben?"
4,3,1,1,1,1,1,1,0,"Jó keresztény módjára példát mutatok családomnak?"
5,0,1,1,1,1,1,1,1,"Szoktam-e verekedni, durváskodni, gúnyolódni? Másoknak fájdalmat okozni?"
5,1,1,1,1,1,1,1,0,"Vigyázok-e egészségemre? (Kerülöm-e a dohányzást, alkoholt és a drogot stb.?)"
5,2,1,1,1,1,1,1,0,"Csábítottam, bátorítottam-e mást bűnre?"
5,3,1,1,1,1,1,1,0,"Közlekedésben felelősen veszek részt?"
6,0,1,1,1,1,1,1,0,"Ruházkodásomban körültekintő vagyok másokra és az alkalomra? "
6,1,1,1,1,1,1,1,0,"Tisztelek-e másokat, testüket? Önző vágyaim céljára használom őket?"
6,2,1,1,1,1,1,1,0,"Kerülöm-e az alkalmakat és gondolatokat, ami bűnbeesésre buzdít másokkal és magammal szemben?"
6,3,1,1,1,1,1,1,0,"Beszédemben, viselkedésemben kerülöm a szemérmetlen dolgokat?"
7,0,1,1,1,1,1,1,1,"Vettem-e el olyat, ami nem az enyém? (Visszaadtam-e már?)"
7,1,1,1,1,1,1,1,1,"Vigyáztam-e magam és mások holmijára?"
7,2,1,1,1,1,1,1,0,"Megtartottam-e szándékosan azt amit kölcsön kaptam? Adósságaimat visszafizettem?"
7,3,1,1,1,1,1,1,0,"Becsülettel használom időmet tanulásban, munkában?"
7,4,1,1,1,1,1,1,0,"Keresem-e az alkalmat, hogy megosszam javaimat a rászorulókkal?"
8,0,1,1,1,1,1,1,0,"Hazudtam, hogy másról rosszat gondoljanak, vagy bajba kerüljön?"
8,1,1,1,1,1,1,1,1,"Hazudtam, hogy elkerüljek jogos büntetést, következményeket?"
8,2,1,1,1,1,1,1,0,"Kerülöm-e a pletykákat, megvédem-e mások becsületét?"
8,3,1,1,1,1,1,1,0,"Túl kritikus, negatív vagy könyörtelen vagyok másokkal szemben?"
8,4,1,1,1,1,1,1,0,"Tovább adom-e a rám bízott bizalmas titkokat?"
9,0,1,1,1,1,1,1,0,"Imádkozom-e, hogy le tudjam győzni a kísértéseket, bűnös gondolatokat?"
9,1,1,1,1,1,1,1,0,"Hagyom a fantáziálásom, gondolataim eluralkodjanak rajtam?"
9,2,1,1,1,1,1,1,0,"Tisztelem házastársamat, el tudom őt fogadni minden testi-lelki tulajdonságát? Összehasonlítgattom őt másokkal?"
10,0,1,1,1,1,1,1,1,"Önző vagyok? Irigykedtem-e (más értékeire, tehetségére stb.)?"
10,1,1,1,1,1,1,1,1,"Hálátlan vagyok Istennel szemben? Elégedetlen azzal szemben, amit kaptam tőle?"
10,2,1,1,1,1,1,1,0,"Nem bízok Isten gondviselésében? Aggódom testi-lelki szükségleteimért?"
10,3,1,1,1,1,1,1,0,"Isten helyett a világ dolgai, az anyagi javak életem fő céljai?"
